id,class,abstract
104,D,1972 Chicago commuter rail crash: The accidental tripping of a signal at 27th Street station on the Metra Electric system in Chicago causes an IC Electric express train to telescope another
105,U,At a scientific meeting in Honolulu
106,D,HBO begins operating as a pay television service.
107,U,The Dow Jones Industrial Average closes above 1
108,U,Vietnam War: The United States loses its first B-52 Stratofortress of the war.
109,U,Vietnam War: White House Press Secretary Ron Ziegler tells the press that there will be no more public announcements concerning United States troop withdrawals from Vietnam because troop levels are now down to 27
110,U,United Airlines Boeing 737 from Washington National to Chicago Midway crashes short of the runway
111,U,Over $10
112,D,Apollo program: Eugene Cernan is the last person to walk on the Moon
113,D,Apollo program: Apollo 17 returns to Earth
114,U,A peace delegation that includes singer-activist Joan Baez and human rights attorney Telford Taylor visit Hanoi to deliver Christmas mail to American prisoners of war.
115,D,Former President Harry S. Truman dies in Kansas City
116,U,Eastern Air Lines Flight 401 crashes into the Everglades in Florida
117,D,Vietnam War: Citing progress in peace negotiations
118,D,Roe v. Wade: The U.S. Supreme Court overturns state bans on abortion.
119,D,Former President Lyndon B. Johnson dies at his ranch in Johnson City
120,D,George Foreman wins boxing's World Heavyweight Championship
121,D,President Nixon announces that a peace accord has been reached in Vietnam.
122,D,G. Gordon Liddy is found guilty of Watergate charges.
123,U,Pan American and Trans World Airlines cancel their options to buy 13 Concorde airliners.
124,U,Ohio becomes the first U.S. state to post road distance signs in metric (see Metric system in the United States).
125,U,The United States Dollar is devalued by 10%.
126,D,The 5.8 .mw-parser-output .tooltip-dotted{border-bottom:1px dotted;cursor:help}Mw Point Mugu earthquake affected the south coast of California with a maximum Mercalli intensity of VII (Very strong). Several people were injured and damage totaled $1 million.
127,D,The American Indian Movement occupies Wounded Knee
128,U,The landmark postmodern novel Gravity's Rainbow by Thomas Pynchon is published.
129,D,Charlotte's Web
130,D,Last episode of original Laugh-In airs on NBC. The show will continue with re-runs until May 14
131,D,Watergate scandal (United States): In a letter to Judge John Sirica
132,U,UCLA captures its seventh consecutive college basketball national championship and eighth in ten seasons under John Wooden
133,U,TV soap opera The Young and the Restless and game show The $10
134,U,The 45th Academy Awards ceremony
135,U,The last United States soldier leaves Vietnam.
136,D,The first handheld cellular phone call is made by Martin Cooper in New York City.
137,D,The World Trade Center officially opens in New York City with a ribbon cutting ceremony.
138,U,Pioneer 11 is launched on a mission to study the Solar System.
139,U,Ron Blomberg of the New York Yankees becomes the first designated hitter in Major League Baseball.
140,D,Federal Express officially begins operations
141,D,For the first time
142,U,The first day of trading on the Chicago Board Options Exchange.
143,D,Watergate scandal: President Richard Nixon announces that White House Counsel John Dean has been fired and that Attorney General Richard Kleindienst has resigned along with staffers H. R. Haldeman and John Ehrlichman.
144,U,Following President Richard Nixon's visit to mainland China
145,U,The Sears Tower in Chicago is finished
146,U,A 71-day standoff between federal authorities and American Indian Movement activists who were occupying the Pine Ridge Reservation at Wounded Knee
147,D,The New York Knicks defeat the Los Angeles Lakers
148,D,Skylab
149,D,Watergate scandal: Televised hearings begin in the United States Senate.
150,U,Skylab 2 (Pete Conrad
151,D,Gordon Johncock wins the Indianapolis 500 in the Patrick Racing Special Eagle-Offenhauser
152,D,A United States patent for the Docutel automated teller machine is granted to Donald Wetzel
153,D,The Supreme Court of the U.S. delivers its decision in the landmark case Miller v. California
154,U,W. Mark Felt ("Deep Throat") retires from the Federal Bureau of Investigation.
155,D,Watergate scandal: Former White House counsel John Dean begins his testimony before the Senate Watergate Committee.
156,D,The United States Congress passes the Education of the Handicapped Act (EHA)
157,D,A catastrophic BLEVE (Boiling Liquid Expanding Vapor Explosion) in Kingman
158,U,1973 National Archives Fire: A major fire destroys the entire 6th floor of the National Personnel Records Center in St. Louis
159,U,Watergate Scandal: Former White House aide Alexander Butterfield informs the United States Senate Watergate Committee that President Richard Nixon had secretly recorded potentially incriminating conversations.
160,D,A Delta Air Lines Flight 173 DC9-31 aircraft lands short of Boston's Logan Airport runway in poor visibility
161,D,Serial killer
162,D,The U.S. bombing of Cambodia ends
163,D,American singer Art Garfunkel finally releases his solo debut album Angel Clare
164,U,The Battle of the Sexes:  Billie Jean King defeats Bobby Riggs in a televised tennis match
165,U,Singer-songwriter Jim Croce dies following a gig at Northwestern State University in Natchitoches
166,U,Baseball legend Willie Mays announces his retirement.
167,D,ITT is bombed in New York City by the Weather Underground
168,D,The animated Thanksgiving special A Charlie Brown Thanksgiving premieres on CBS. It ends up winning an Emmy Award the following year.
169,U,President Richard Nixon's attorney
170,D,The United States Senate votes 92
171,D,Pioneer program: Pioneer 10 sends back the first close-up images of Jupiter.
172,U,The United States House of Representatives votes 387
173,U,The Exorcist
174,U,The Endangered Species Act is passed in the United States.
175,D,Citing executive privilege
176,D,Joni Lenz is attacked in her bedroom by serial killer Ted Bundy in Washington; she survives.
177,U,Happy Days
178,U,In his State of the Union Address
179,D,Newspaper heiress Patricia Hearst is kidnapped from her Berkeley
180,D,After a record 84 days in orbit
181,D,U.S. District Court Judge Geoerge Boldt rules that Native American tribes in Washington state are entitled to half of the legal salmon and steelhead catches
182,U,Samuel Byck attempts to hijack an airplane with the intent to crash it into the White House and assassinate President Nixon. He commits suicide when police storm the plane.
183,U,Egypt and the United States re-establish normal diplomatic relations.
184,D,Watergate scandal: Seven former White House officials are indicted for their role in the Watergate break-in and charged with conspiracy to obstruct justice.
185,D,People magazine's first issue is published in the U.S.
186,D,Oil embargo crisis: Most OPEC nations end a 5-month oil embargo against the United States
187,D,After 23 consecutive years on television
188,D,First recorded crime
189,D,Mariner 10 approaches Mercury.
190,U,The 46th Academy Awards ceremony
191,U,The 1974 Super Outbreak
192,D,Hank Aaron ties Babe Ruth for the all-time home run record with his 714th at Riverfront Stadium in Cincinnati.
193,D,Hank Aaron of the Atlanta Braves breaks Babe Ruth's home run record
194,D,In San Francisco
195,D,Hi-Fi Murders: Five people are brutally tortured by a group of men during a robbery at a home audio store in Ogden
196,U,The House of Representatives Judiciary Committee opens formal hearings in the impeachment process against Richard Nixon.
197,D,Los Angeles police raid Symbionese Liberation Army headquarters
198,U,Johnny Rutherford wins the first of three Indianapolis 500 automobile races.
199,U,NASA's ATS-6 satellite is launched.
200,U,Bavarian Autosport is founded in Stratham
201,U,The Cleveland Indians stage an ill-advised Ten Cent Beer Night for a game against the Texas Rangers at Cleveland Municipal Stadium. Cleveland forfeits after alcohol-fueled mayhem and violence spreads from the stands onto the field.
202,D,The Universal Product Code is scanned for the first time
203,D,Six Flags Great Adventure opens for the first time.
204,D,Two weeks after the attraction's opening
205,U,Christine Chubbuck
206,D,Elmer Wayne Henley is sentenced to life imprisonment for assisting Dean Corll in murdering 28 Texas boys from 1970 to 1973.
207,U,Watergate scandal
208,U,Watergate scandal: The "smoking gun" tape of June 23
209,U,Three Republican congressional leaders (Barry Goldwater
210,U,French acrobat Philippe Petit walks across a high wire slung between the twin towers of the World Trade Center in New York.
211,D,Watergate scandal: President Nixon announces his resignation (effective August 9).
212,U,Richard Nixon becomes the first president of the United States to resign from office
213,U,Public Law 93-400 is enacted
214,U,In Newport
215,U,U.S. release of film The Taking of Pelham One Two Three
216,D,Franklin National Bank collapses due to fraud and mismanagement (the largest bank failure at that time in the history of the United States).
217,D,President Gerald Ford signs a federal campaign reform bill
218,U,President Gerald Ford voluntarily appears before Congress to give sworn testimony—the only time a sitting president has done so—about the pardon of Richard Nixon.
219,U,The Oakland Athletics win their third consecutive Major League Baseball championship
220,U,The Rumble in the Jungle takes place in Kinshasa
221,U,Democrats make significant gains in the U.S. Congressional midterm elections
222,D,In Salt Lake City
223,D,Ronald DeFeo Jr. murders his family in Amityville
224,D,The United States Department of Justice files its final antitrust suit against AT&T. This suit later leads to the breakup of AT&T and the Bell System.
225,D,The Pioneer 11 probe passes Jupiter and captures famous images of the Great Red Spot.
226,U,United States Senate confirms Nelson Rockefeller as Vice President.
227,D,United States House of Representatives confirms Rockefeller as Vice President of the United States. He is sworn that evening.
228,D,Former British government minister John Stonehouse
229,U,Restrictions on holding private gold within the United States
230,U,The Federal Rules of Evidence are approved by the United States Congress.
231,U,AM America makes its television debut on ABC.
232,U,Wheel of Fortune premieres on NBC.
233,U,The Indiana Law Enforcement Academy begins operations.
234,D,Ella Grasso becomes Governor of Connecticut
235,D,President Gerald Ford appoints Vice President Nelson Rockefeller to head a special commission looking into alleged domestic abuses by the CIA.
236,U,The Carousel of Progress moves to Walt Disney World from Disneyland.
237,U,Steel roller coaster Space Mountain (Magic Kingdom) opens at Walt Disney World in Florida
238,U,Talent agent Michael Ovitz founds the Creative Artists Agency.
239,U,Be My Valentine
240,U,The Weather Underground bombs the U.S. State Department main office in Washington
241,U,The New World Liberation Front
242,U,Fire breaks out in the World Trade Center.
243,U,Watergate scandal: Former United States Attorney General John N. Mitchell
244,U,The Rocky Horror Show opens on Broadway in New York City with 4 performances.
245,D,The release of Tommy
246,D,In his final game on the sideline
247,D,Bobby Fischer refuses to play in a chess match against Anatoly Karpov
248,D,Vietnam War: The first military Operation Babylift flight
249,D,Bill Gates founds Microsoft in Albuquerque
250,U,The 47th Academy Awards ceremony
251,U,Karen Ann Quinlan
252,D,Operation Frequent Wind
253,U,Vietnam War: The Fall of Saigon: The Vietnam War ends as Communist forces take Saigon
254,U,The unemployment rate peaks at 9.0% ending the Post-War Boom.
255,U,The Busch Gardens Williamsburg theme park
256,D,A violent F4 tornado hits the Omaha metropolitan area
257,D,Mayaguez incident: Khmer Rouge forces in Cambodia seize the United States merchant ship SS Mayaguez in international waters.
258,D,Mayaguez incident: The American merchant ship Mayaguez
259,D,In the National Hockey League
260,U,American distance runner Steve Prefontaine dies in a car accident in Eugene
261,D,In Washington
262,U,Universal Pictures releases Steven Spielberg's adaptation of Peter Benchley's bestseller Jaws in 409 cinemas across the United States. The coupling of this broad distribution pattern with the movie's then even rarer national television marketing campaign has yielded a release method virtually unheard-of. Regardless
263,U,Eastern Airlines Flight 66 crashes in New York City while attempting to land at JFK International Airport from New Orleans due to a microburst
264,U,Two FBI agents and one AIM member die in a shootout at the Pine Ridge Indian Reservation in South Dakota.
265,D,Apollo
266,D,Stanley Forman takes the photo Fire Escape Collapse.
267,D,A Chorus Line debuts on Broadway
268,U,In Detroit
269,D,The 5.7 ML Oroville earthquake affects Butte County
270,D,President Ford posthumously pardons Robert E. Lee
271,D,Samuel Bronfman II
272,D,Viking program: NASA launches the Viking 1 planetary probe toward Mars.
273,U,Bruce Springsteen's album Born to Run is released.
274,D,In Sacramento
275,D,Riverfront Coliseum opens in Cincinnati.
276,U,Fugitive Patricia Hearst is captured in San Francisco.
277,D,President Gerald Ford survives a second assassination attempt
278,D,Thrilla in Manila: Muhammad Ali defeats Joe Frazier in a boxing match in Manila
279,U,1975 World Series: US baseball team the Boston Red Sox defeat the Cincinnati Reds in Game 6 off Carlton Fisk's 12th-inning home run in one of the most famous World Series games ever played. The following day
280,D,An independent audit of Mattel
281,D,The long-running television game show The Price Is Right expands from 30 minutes to its current hour-long format on CBS.
282,U,Travis Walton
283,U,The bulk carrier Edmund Fitzgerald sinks 15 miles off of Whitefish Point
284,D,Former California Governor Ronald Reagan enters the race for the 1976 Republican presidential nomination
285,U,New York City is approved for a bailout of $2.3 billion each year through to 1978
286,U,The Lutz family moves into 112 Ocean Avenue
287,U,United States Congress passes the Metric Conversion Act which encourages
288,D,A bomb explosion at LaGuardia Airport kills 11.
289,U,The Beatles associate Mal Evans is fatally shot by police amid a disturbance at his Los Angeles home.
290,U,The Lutz family flees from 112 Ocean Avenue in Amityville
291,U,Would-be Gerald Ford presidential assassin Sara Jane Moore is sentenced to life in prison.
292,U,Jimmy Carter wins the Iowa Democratic Caucus.
293,U,Hugo the Hippo
294,D,The United States vetoes a United Nations resolution that calls for an independent Palestinian state.
295,U,Live from Lincoln Center debuts on PBS.
296,D,Nearly 2
297,U,Clifford Alexander
298,U,Actor Sal Mineo
299,D,The Eagles' Their Greatest Hits (1971
300,U,Former Tower of Power vocalist Rick Stevens is arrested for murdering three men during a botched drug deal. He ultimately serves 36 years of a life sentence.
301,D,The Cray-1
302,D,Bradford Bishop allegedly murders five of his family members in Bethesda
303,U,Boxer Rubin Carter is retried in New Jersey for murder; his conviction is upheld on this occasion but will be overturned in 1985.
304,D,The 48th Academy Awards ceremony
305,U,The New Jersey Supreme Court rules that persistent vegetative state patient Karen Ann Quinlan can be disconnected from her ventilator. She remains comatose and dies in 1985.
306,D,Conrail (Consolidated Rails Corporation) is formed by the U.S. government
307,D,Apple Computer Company is formed by Steve Jobs and Steve Wozniak in California.
308,U,The United States Treasury Department reintroduces the two-dollar bill as a Federal Reserve Note on Thomas Jefferson's 233rd birthday as part of the United States Bicentennial celebration.
309,U,President Gerald Ford signs the Federal Election Campaign Act.
310,U,An accident involving a tanker truck carrying anhydrous ammonia takes place in Houston
311,D,The Yuba City bus disaster
312,D,The "Famous Fire" in McKeesport
313,D,Washington
314,D,The Judgment of Paris pits French vs. California wines in a blind taste-test in Paris
315,D,President Gerald Ford defeats challenger Ronald Reagan in three Republican presidential primaries: Kentucky
316,U,A car bomb kills Arizona Republic reporter Don Bolles.
317,U,Francis E. Meloy
318,U,The National Basketball Association and the American Basketball Association agree on the ABA-NBA merger.
319,D,The first class of women at the United States Naval Academy is inducted in Annapolis
320,U,California State University
321,U,Barbara Jordan is the first African-American to keynote a political convention.
322,U,Price Club
323,U,Family Feud debuts on ABC-TV.
324,U,Jimmy Carter is nominated for U.S. President at the Democratic National Convention in New York City.
325,U,Twenty-six Chowchilla schoolchildren and their bus driver are abducted and buried in a box truck within a quarry in Livermore
326,D,Viking program: The Viking 1 lander successfully lands on Mars
327,D,Gary Gilmore is arrested for murdering two men in Utah.
328,D,In Los Angeles
329,D,Delegates attending an American Legion convention at The Bellevue-Stratford Hotel in Philadelphia begin falling ill with a form of pneumonia: this will eventually be recognised as the first outbreak of Legionnaires' disease and will end in the deaths of 29 attendees.
330,D,In New York City
331,U,Caitlyn Jenner (at this time
332,D,A gunman murders Andrea Wilborn and Stan Farr and injures Priscilla Davis and Gus Gavrel
333,D,The first recognized outbreak of Legionnaires' disease kills 29 at the American Legion convention in Philadelphia.
334,D,A sniper rampage in Wichita
335,D,At Panmunjom
336,D,President Gerald Ford edges out challenger Ronald Reagan to win the Republican Party presidential nomination in Kansas City.
337,U,Viking program: The Viking 2 spacecraft lands at Utopia Planitia on Mars.
338,U,The space shuttle Enterprise is rolled out of a Palmdale
339,U,Orlando Letelier is assassinated in Washington
340,D,The first presidential debate of the 1976 presidential election takes place.
341,U,Patty Hearst is sentenced to seven years in prison for her role in the armed robbery of a San Francisco bank in 1974 (an executive clemency order from President Jimmy Carter will set her free after only 22 months).
342,D,American singer Stevie Wonder releases his hit album Songs in the Key of Life.
343,D,In San Francisco
344,U,The United States Commission on Civil Rights releases the report Puerto Ricans in the Continental United States: An Uncertain Future
345,U,The first ever vice presidential debate in the United States takes place between Bob Dole and Walter Mondale.
346,U,Ford officially launches volume production of Fiesta car at its Valencia plant.
347,D,The Copyright Act of 1976 extends copyright duration for an additional 20 years in the United States.
348,U,The Mississippi River ferry MV George Prince is struck by a ship while crossing from Destrehan
349,D,The Cincinnati Reds sweep the New York Yankees in four games to win the 1976 World Series.
350,D,Barbara Walters hosts the final presidential debate of the 1976 presidential election.
351,U,Clarence Norris
352,U,Mark Fidrych
353,U,The first megamouth shark is discovered off Oahu in Hawaii.
354,U,Microsoft is officially registered with the Office of the Secretary of the State of New Mexico.
355,D,The New York Yankees sign free agent Reggie Jackson to a five-year $3 million contract
356,U,The Congressional Hispanic Caucus is established by the five Latinos in the United States Congress: Herman Badillo of New York
357,D,Richard J. Daley
358,D,Apple Computer is incorporated.
359,U,Japan Air Lines Cargo Flight 1045
360,D,In the first execution after the reintroduction of the death penalty in the United States
361,U,Snow falls in Miami
362,U,President Gerald Ford pardons Iva Toguri D'Aquino (aka “Tokyo Rose”).
363,D,Jimmy Carter is sworn in as the 39th president of the United States
364,U,President Jimmy Carter pardons Vietnam War draft evaders.
365,D,The Great Lakes Blizzard of 1977 hits Buffalo
366,U,Fleetwood Mac's Grammy Award-winning album Rumours is released.
367,U,Eleven CTA commuters are killed when an elevated train derails from the Loop in central Chicago.
368,D,The Space Shuttle Enterprise test vehicle goes on its maiden "flight" while sitting on top of a Boeing 747
369,D,Approximately a dozen armed Hanafi Movement Muslims take over three buildings in Washington
370,U,Walt Disney Productions' 22nd feature film
371,U,United States lifts its ban on travel by U.S. citizens to Cambodia
372,U,Tenor Luciano Pavarotti and the PBS opera series Live from the Met both make their American television debuts. Pavarotti stars in a complete production of Puccini's La Boheme.
373,D,The 49th Academy Awards ceremony
374,D,Grundy
375,D,Southern Airways Flight 242 during a flight leg en route to Atlanta
376,D,Beginning of demonstrations in 10 cities across the U.S.
377,U,The Toronto Blue Jays play their first game of baseball against the Chicago White Sox.
378,U,The Seattle Mariners play their first-ever game of baseball against the California Angels.
379,D,Residents of Dover
380,U,The United States Conference of Catholic Bishops rule that divorced Catholics
381,U,A 20-passenger S-61L helicopter topples sideways at takeoff from the roof of the Pan Am Building in Midtown Manhattan. Four passengers are killed by the turning rotors and a woman at street level is fatally struck by a fallen blade.
382,U,Chuck E. Cheese's Pizza Time Theatre first opens in San Jose
383,D,The movie Star Wars
384,D,George Willig climbs the South Tower of the World Trade Center.
385,D,Space Mountain opens at Disneyland and will become one of the park's most popular attractions.
386,U,After campaigning by Anita Bryant and her anti-gay "Save Our Children" crusade
387,U,Assassin James Earl Ray escapes from Brushy Mountain State Penitentiary in Petros
388,U,Oracle Corporation is incorporated in Redwood Shores
389,U,The Supreme Court of the United States rules that states are not required to spend Medicaid funds on elective abortions.
390,D,Walt Disney Productions' 23rd feature film
391,U,Women Marines disbanded; women are integrated into regular Marine Corps.
392,U,The New York City blackout of 1977 lasts for 25 hours
393,D,The first oil through the Trans-Alaska Pipeline System reaches Valdez
394,D,United States Senate hearings on MKULTRA are held.
395,U,President Jimmy Carter signs legislation creating the United States Department of Energy.
396,D,Hulk Hogan debuts as The Super Destroyer for Championship Wrestling from Florida when he is defeated by Don Serrano at John Carroll Catholic High School's gym in Fort Pierce
397,U,David Berkowitz is captured in Yonkers
398,D,The NASA Space Shuttle
399,U,The Big Ear
400,D,Elvis Presley
401,U,Evangelical pastor Oral Roberts publishes plans to build the 'City of God Hospital' in Tulsa
402,U,Treaties between Panama and the United States on the status of the Panama Canal are signed. The U.S. agrees to transfer control of the canal to Panama at the end of the 20th century.
403,D,Soap debuts on ABC and launches the career of Billy Crystal.
404,D,Under pressure from the Carter administration
405,D,Closure of steelworks in Youngstown
406,D,A nuclear non-proliferation pact is signed by 15 countries
407,U,Jazz-rock group Steely Dan releases their sixth studio album Aja; it becomes their highest charting album at No. 3 and goes on to win a Grammy Award.
408,U,Singer-songwriter Billy Joel releases his fifth studio album The Stranger; it becomes the first of several hit albums
409,U,The modern Food Stamp Program begins when the Food Stamp Act of 1977 is enacted.
410,U,A series of partial government shutdowns occur
411,U,Irish American mobster Danny Greene is murdered with a car bomb by the Cleveland crime family in Lyndhurst
412,D,The passage of the Community Reinvestment Act.
413,U,Anita Bryant is famously pied by four gay rights activists during a press conference in Des Moines
414,U,Newly acquired and flamboyantly charismatic slugger Reggie Jackson hits three home runs to lead the New York Yankees to their first World Series championship victory since 1962 over the Los Angeles Dodgers in the 1977 World Series in six games.
415,U,Three members (lead singer Ronnie Van Zant
416,D,Rock singer Meat Loaf (real name Marvin Lee Aday) releases the album Bat Out of Hell.
417,D,A new Peanuts special
418,U,San Francisco elects City Supervisor Harvey Milk
419,U,British Airways inaugurates regular London to New York City supersonic Concorde service.
420,D,Jazz saxophonist Archie Shepp records "On Green Dolphin Street"
421,U,Pinwheel debuts on Channel C-3 (now Nickelodeon).
422,U,The Lockheed's top-secret stealth aircraft project
423,U,Crash of Air Indiana Flight 216: A DC-3 charter plane carrying the University of Evansville basketball team crashes in rain and dense fog about 90 seconds after takeoff from Evansville Dress Regional Airport. Twenty-nine people die in the crash
424,U,Mikhail Baryshnikov's 1976 production of Tchaikovsky's ballet The Nutcracker comes to CBS a year after premiering onstage at the Kennedy Center. This adaptation will become the most popular television production of the work.
425,D,The Holy Crown of Hungary (also known as the Crown of St. Stephen) is returned to Hungary from the United States
426,D,Robert F. Rock succeeds Edward M. Davis as the LAPD's interim chief.
427,U,Federal Appeals Court Judge William H. Webster is appointed Director of the Federal Bureau of Investigation.
428,U,Hollywood film director Roman Polanski flees to France to avoid sentencing after pleading guilty to unlawful sex with a minor.
429,U,The first Home Depot opens in Marietta
430,U,United States Senate proceedings are broadcast on radio for the first time.
431,U,The Budd Company unveils its first SPV-2000 self-propelled railcar in Philadelphia
432,D,Serial killer Ted Bundy is recaptured in Pensacola
433,D,The Hillside Strangler
434,D,The first computer bulletin board system (CBBS) is created in Chicago.
435,U,Five men with mild mental-health issues from Yuba City
436,U,The New York Post publishes an article about David Rorvik's book The Cloning of Man
437,D,American porn publisher Larry Flynt is shot and paralyzed in Lawrenceville
438,U,Karl Wallenda of the Flying Wallendas dies after falling off a tight-rope between two hotels in San Juan
