id,class,abstract
4846,U,Donald Trump becomes the first U.S. president to be impeached for a second time
1908,U,Maryland defeats Indiana 64
2948,U,The CEO of Citigroup
4995,U,Twitter suspensions: Twitter announces that they have suspended the account of former Florida Department of Health dashboard manager Rebekah Jones for spamming and "platform manipulation" after she paid other users to follow her.
4211,U,At 12:00 a.m. EST
5629,U,In basketball
3615,U,An audit by the State Department Inspector General finds that Hillary Clinton violated directives from the department in her use of a private email server for government business during her time as Secretary of State. The Inspector General says that Clinton did not request approval to use the private server
1322,U,Lili Simmons
601,D,Manchester
3994,U,A study conducted by health services company Cigna reveals that American adults are experiencing a "loneliness epidemic" with nearly half of Americans reporting they sometimes or always feel alone (46 percent) or left out (47 percent).
3531,U,The February 2016 North American storm complex causes power outages for more than 70
4106,D,Volume II of the Fourth National Climate Assessment (NCA4) is released.
2430,D,An 8.3-magnitude earthquake triggers a tsunami near the Samoan Islands. Many communities and harbors in Samoa and American Samoa are destroyed
4264,D,Leslie McCrae Dowless faces new charges of electoral fraud in North Carolina. Dowless was arrested in 2017 and charged with trying to rig the election in North Carolina's 9th Congressional District in favor of Mark Harris
2181,U,A group of institutional investors already involved in a lawsuit with the company sue Tyco International to stop its proposed breakup plan.
3931,D,Scotland Yard reveals that U.S. actor Kevin Spacey is being investigated over a third accusation of sexual assault in the UK
1620,U,The presidential line-item veto is declared unconstitutional by a United States federal judge.
3877,U,The first charges are filed in the investigation led by special counsel Robert Mueller into alleged Russia interference in the 2016 US election.
2605,U,Following the Tōhoku earthquake and tsunami
4463,D,President Trump expands his travel ban to include six new countries: Eritrea
1577,U,Men in Black is released in theaters.
2044,U,Hurricane Ivan strikes Gulf Shores
1475,U,Shawn Nelson
4566,D,COVID-19 pandemic: The state of Missouri challenges China's sovereign immunity in U.S. district court by suing three Chinese government ministries
5883,U,2024 United States presidential election: Former UN Ambassador and South Carolina governor Nikki Haley suspends her 2024 campaign for President after a poor showing on Super Tuesday
57,U,The Pioneer 10 spacecraft is launched from Cape Kennedy
2756,D,American cell phone service provider Sprint Nextel reportedly pays $20 billion for rights to Apple's next mobile phone.
590,D,The final episode of M*A*S*H airs
3849,U,President Trump signs an executive order allowing police to acquire and use military-style equipment.
4589,U,COVID-19 pandemic: James Jamal Curry
70,D,The first Boston Marathon in which women are officially allowed to compete.
350,D,Barbara Walters hosts the final presidential debate of the 1976 presidential election.
2617,D,In men's college basketball
656,U,Forces veteran Denis Lortie shoots and kills three government employees in the National Assembly of Quebec building in Quebec City. The National Assembly's sergeant-at-arms
2170,U,The White House announces that President Bush has chosen Professor Edward Lazear
1229,D,Gian Ferri kills eight and injures six before committing suicide at a law firm in San Francisco
3094,U,PAW Patrol debuts on Nickelodeon.
2702,D,The United States Post Office closure list is sent. Some 3
1365,D,Stefon Diggs
903,U,Thirteen days after the Southern Pacific train derailment
2050,U,First debate of the 2004 United States presidential election.
5882,D,Louisiana Governor Jeff Landry signs a bill that adds nitrogen gas and electrocution as execution methods.
5692,U,Dick Clark Productions and Eldridge Industries acquire all rights and assets relating to the Golden Globe Awards. As a result
902,U,The Dow Jones Industrial Average closes above 2
732,D,Xavier Suárez is sworn in as Miami's first Cuban-born mayor.
2558,D,A Virginia federal judge rules that parts of the Patient Protection and Affordable Care Act
2204,D,Henry Paulson is sworn in as the new Secretary of Treasury
3043,U,Maryland Governor Martin O'Malley approves a stormwater management fee derisively known as the rain tax.
3373,D,The Supreme Court hears arguments regarding the issue of whether the Constitution guarantees the right to marriage to same-sex couples.
204,D,Two weeks after the attraction's opening
2064,D,NASA's hypersonic Scramjet breaks a record by reaching a velocity of about 7
1610,D,Lewinsky scandal: On American television
1104,U,1991 Sacramento hostage crisis: Four gunmen take 41 people hostage at a Good Guys! electronics store in Sacramento
1246,D,President Bill Clinton signs the Religious Freedom Restoration Act of 1993 into federal law.
5384,D,The Department of Justice sues Idaho for its ban on abortion being a violation of the Emergency Medical Treatment and Active Labor Act. When announcing the lawsuit
2452,U,The U.S. special election is held in Massachusetts to elect a new Senator to take the vacant seat held by the late Ted Kennedy. Republican Scott Brown beats State Attorney General Martha Coakley
5002,U,Hawaii reports their first case of the Lineage B.1.617 Delta variant in an Oahu resident who traveled to Nevada.
5486,D,The Department of Education partly reverses its earlier decision to forgive student loans.
136,D,The first handheld cellular phone call is made by Martin Cooper in New York City.
1277,D,Abigail Mavity
2484,U,Official tabulation of the 2010 US Census begins.
4924,D,The Arkansas Senate passed
4651,U,The Pentagon reportedly begins establishing a new task force to investigate UFO sightings
4550,U,COVID-19 pandemic: Nationwide COVID-19 deaths surpass 10
2735,D,U.S. President Barack Obama unveils the American Jobs Act to a joint-session of Congress. Critics label it as a "Third stimulus package".
4014,U,Harvey Weinstein is charged with rape and several other counts of sexual abuse involving two separate women after turning himself in to police in New York City.
5071,U,President Biden sets a goal for half of new cars sold to be zero-emission by 2030.
5897,U,A man identified as Richard Slayma receives a kidney from a genetically engineered pig at Massachusetts General Hospital in Boston. This medical breakthrough could see the end of dialysis treatment.
1066,D,President Bush leaves on a trip to Europe and the Middle East; he spends Thanksgiving with U.S. troops in Saudi Arabia.
704,U,Philadelphia
374,D,Grundy
4607,D,The Trump administration authorizes sanctions and additional visa restrictions against the International Criminal Court in retaliation for their investigation into potential war crimes by U.S. officials.
518,D,Berkeley Breathed's comic strip Bloom County debuts in newspapers.
2272,D,The Food and Drug Administration declares that food from cloned cattle
533,D,Boxing: Muhammad Ali loses to Trevor Berbick; this proved to be Ali's last-ever fight.
5006,U,The House votes
1087,U,A USAir Boeing 737-300
3269,D,Microsoft announces that it is purchasing Mojang
2410,D,An 88-year-old man opens fire at the United States Holocaust Museum in Washington
5077,D,2021 California fire season: The Dixie Fire near Chico becomes the  largest fire in the history of California.
2616,D,The U.S. Supreme Court upholds Arizona School Vouchers in a 5–4 ruling.
4313,D,The proposed "invasion" by 2
92,U,U.S. Senator Thomas Eagleton
2625,D,Standard & Poor's downgrades its outlook on long-term sovereign debt of the United States to negative from stable for the first time in history
1560,D,The 69th Academy Awards
5776,D,2020 Georgia election investigation: Attorney Sidney Powell pleads guilty in the Georgia election racketeering prosecution for her role in attempting to overturn the results; she is joined by fellow attorneys Kenneth Chesebro the following day
292,U,Jimmy Carter wins the Iowa Democratic Caucus.
1752,D,NASA announces that it has lost contact with the Mars Climate Orbiter.
1337,D,Taylor Gray
1010,U,Lebanon hostage crisis: Lebanese kidnappers release American educator Frank H. Reed
4381,D,A mass shooting occurs at Saugus High School in Santa Clarita
4969,D,The Colonial Pipeline shutdown enters its fifth day. Panic buying by motorists causes many eastern seaboard gas stations to begin running dry. U.S. Energy Secretary Jennifer Granholm urges calm and to not hoard.
4380,D,United States Department of Justice proposes a program to reduce gun violence.
1052,D,In Fort Lauderdale
516,D,MGM Grand fire: A fire at the MGM Grand Hotel and Casino on the Las Vegas Strip kills 85 people.
1963,U,FBI agents raid the corporate headquarters of HealthSouth Corporation in Birmingham
2368,U,Timothy Geithner is sworn in as the new Secretary of Treasury
3529,U,A crippling winter storm hits the central and eastern United States
5875,U,The Smokehouse Creek Fire in the Texas panhandle burns almost 200
463,U,U.S. President Jimmy Carter proclaims a grain embargo against the USSR with the support of the European Commission.
4824,U,The local council of Murdock
4595,D,George Floyd protests: A state of emergency is declared in the Twin Cities
5479,D,FBI search of Mar-a-Lago: A three-judge panel on the 11th circuit rules that the Justice Department can regain access to the classified records seized during trial.
3995,D,The state of Iowa approves the so-called "heartbeat" bill
904,U,United States House of Representatives Majority Whip Tony Coelho resigns from the United States House of Representatives
3935,D,Disgraced Olympic gymnastics team doctor Larry Nassar receives a prison sentence of up to 175 years after testimony from nearly 160 of his victims.
2186,D,The colorized $10 bill is released
2260,U,Executive Directive 51
4657,U,Two people are fatally shot overnight during unrest in Kenosha
3311,U,The first test flight of the Orion spacecraft successfully takes place from Space Launch Complex 37B at Cape Canaveral Air Force Station in Florida.
2642,U,The U.S. Supreme Court makes a limited-usage (narrow in scope and application) 8-0 decision which sided with former United States Attorney General John Ashcroft in a claim for damages against a public official.
789,U,The United States military detonates an atomic weapon at the Nevada Test Site.
1786,D,Walt Disney Pictures' 39th feature film
291,U,Would-be Gerald Ford presidential assassin Sara Jane Moore is sentenced to life in prison.
4857,U,The Food and Drug Administration (FDA) approves Cabenuva as a complete regimen for the treatment of HIV/AIDS.
1598,D,Telecom companies WorldCom and MCI Communications announce a US$37 billion merger to form MCI WorldCom (the largest merger in U.S. history).
50,U,Two New York City Police Department officers
1185,U,Al Gore
2042,D,In the "Rathergate" affair
4694,D,The Supreme Court rules 5-3 that Wisconsin cannot count mail-in ballots received after election day.
617,U,Cold War: Korean Air Lines Flight 007 is shot down by a Soviet Union jet fighter when the commercial aircraft enters Soviet airspace. All 269 on board are killed
2,U,Boxer Joe Frazier defeats Muhammad Ali in a 15-round unanimous decision at Madison Square Garden.
4401,U,Huawei submits a petition in the United States Court of Appeals for the Fifth Circuit against the FCC's decision to prohibit rural U.S. network providers from using equipment from the China-based vendor due to national security concerns
4476,D,Former film producer Harvey Weinstein is found guilty of rape.
716,U,Vice President George H. W. Bush announces that New Hampshire teacher Christa McAuliffe will become the first school teacher to ride aboard the Space Shuttle Challenger.
5170,U,A crowd crush during a Travis Scott concert at the Astroworld Festival in Houston kills ten people and injures more than 300.
1163,U,Kentucky celebrates its bicentennial statehood.
1740,U,Big Blue Crane collapses while constructing Miller Park killing three workers.
1597,D,In Newton
1303,D,Laura Loomer
5137,U,The U.S. Senate confirms Damian Williams as Attorney for the Southern District of New York
1297,U,Spencer Fox
2077,D,U.S. President George W. Bush speaks out publicly about the deaths caused by the 9.1 magnitude earthquake and tsunami in Indian Ocean and answers questions at the Prairie Chapel Ranch.
4536,U,Nationwide COVID-19 deaths surpass 1
751,U,The United States Senate allows its debates to be televised on a trial basis.
3211,U,In a 5
3868,U,The Trump administration issues a ruling that allows employers to opt out of providing free birth control to their employees.
3712,D,Three days before leaving office
3187,D,A train derailment of the CTA Blue Line occurs at O'Hare International Airport in Chicago
4664,U,President Donald Trump is nominated for the 2021 Nobel Peace Prize by a Norwegian lawmaker for his role in facilitating the Israel
3744,U,President Trump calls to investigate any ties with Hillary Clinton and Russia.
2036,D,NASA's MESSENGER is launched (it was captured into Mercury's orbit on March 18
432,D,Serial killer Ted Bundy is recaptured in Pensacola
728,D,The cruise ship Achille Lauro is hijacked in the Mediterranean Sea by four heavily armed Palestinian terrorists. One passenger
300,U,Former Tower of Power vocalist Rick Stevens is arrested for murdering three men during a botched drug deal. He ultimately serves 36 years of a life sentence.
5958,U,Steward Health Care System
1106,U,The Dow Jones Industrial Average closes above 3
1664,U,1998 U.S. embassy bombings: The bombings of the United States embassies in Dar es Salaam
342,D,American singer Stevie Wonder releases his hit album Songs in the Key of Life.
22,U,New York Times Co. v. United States: The Supreme Court of the U.S. rules that the Pentagon Papers may be published
5924,D,The United States vetoes a UN Security Council resolution supporting the State of Palestine joining the United Nations.
5198,U,An outbreak of more than 10 wildfires begins in the state of Kansas
4188,U,Joining Saudi Arabia and Bahrain
3268,D,Self-taught survivalist Eric Frein opens fire outside the Troop R barracks of the Pennsylvania State Police
5160,U,Republican Winsome Sears wins the Virginia lieutenant governor's race and will become the first black and first female lieutenant governor of the state of Virginia.
2381,D,James Nicholson
1523,D,DISH Network
1244,U,Wildfires begin in California
5376,U,The Department of Education announces that it plans to cancel student loans en masse
148,D,Skylab
1448,U,A runaway Santa Fe freight train rear ends a Union Pacific train at the bottom of Cajon Pass
5734,D,The United States reports it recorded its highest number of suicides in 2022
1084,U,George H. W. Bush delivers his second State of the Union Address.
3148,U,Two NASA astronauts at the International Space Station complete a series of spacewalks to replace a faulty ammonia coolant pump.
4378,U,Disney+ is launched.
822,U,Miami Arena in Miami
3421,D,Richard Matt
3263,U,ISIS militants release an online video showing the beheading of American-Israeli journalist Steven Sotloff.
4136,U,Sandusky
3062,D,It is revealed that in February
4448,D,The seventh Democratic presidential debate is held in Des Moines
1793,U,A 30-year-old American mechanic named Thomas Jones is pursued by law enforcement officers from the Philadelphia Police Department in Philadelphia
5179,D,The U.S. House of Representatives votes 222
1866,U,U.S. President George W. Bush announces the establishment of the Office of Homeland Security.
3957,D,The Senate passes
1903,D,125 vehicles are involved in a massive pile up on Interstate 75 in Ringgold
2958,U,Democrats maintain a majority in the Senate.
409,U,The modern Food Stamp Program begins when the Food Stamp Act of 1977 is enacted.
1642,U,India carries out two more nuclear tests at Pokhran. The United States and Japan impose economic sanctions on India.
4630,U,The Trump administration orders hospitals to bypass the CDC and send all COVID-19 patient data to a central database in Washington
1722,D,The World Trade Organization rules in favor of the United States in its long-running trade dispute with the European Union over bananas.
1651,U,Terry Nichols is sentenced to life in prison for his role in the Oklahoma City bombing.
1092,U,Gulf War: Part of an Iraqi Scud missile hits an American military barracks in Dhahran
175,D,Citing executive privilege
1135,U,Los Angeles Lakers point guard Magic Johnson announces that he has HIV
2881,D,Bryson takes medical leave while he undergoes test related to a seizure that occurred during the crashes.
4966,U,Colonial Pipeline cyberattack: An oil pipeline in Houston is hacked by DarkSide causing the pipeline operator to shut down its entire network
879,U,Former National Security Advisor Robert McFarlane is fined $20
5665,D,A shooting takes place at a hospital in Midtown Atlanta killing one and injuring four. The perpetrator is caught after eight hours.
5134,U,The Supreme Court announces that Brett Kavanaugh has tested positive for COVID-19.
2066,D,The NBA's Indiana Pacers and Detroit Pistons engage in a brawl that involves fans and players after the game is called with 45.9 seconds left in the game. The incident gets (then) Pacer Ron Artest suspended for the remainder of the season.
468,U,The 180' coast guard buoy tender USCGC BLACKTHORN collided with the 600' tanker SS CAPRICORN in the Tampa Bay shipping channel. The coast guard vessel capsized and sank after becoming entangled in CAPRICORN'S anchor chain. 23 of BLACKTHORN'S 50 crew members perished in the accident.
1274,U,Timmy Hill
2099,D,A hand grenade ostensibly thrown by Vladimir Arutinian lands about 100 feet (30 m) from United States President George W. Bush while he is giving a speech to a crowd in Tbilisi
3545,U,The death toll in the country's largest outbreak of Elizabethkingia meningoseptica rises to 18 in Wisconsin
464,U,U.S. President Jimmy Carter signs legislation approving $1.5 billion in loan guarantees to bail out the Chrysler Corporation.
4255,U,Ricardo Rosselló
1935,U,Republicans gain a majority in the Senate and a larger majority in the House of Representatives following congressional elections.
4175,U,Fire destroys a building that housed executive offices at the Highlander Research and Education Center in New Market
3339,U,NBC announces that NBC Nightly News host Brian Williams has been suspended for six months due to revelations that he greatly embellished stories of his role in a helicopter incident in Iraq on the air.
4690,U,The Senate Judiciary Committee unanimously votes for the nomination of Judge Amy Coney Barrett
4976,D,The U.S. Supreme Court agrees to take up Dobbs v. Jackson Women's Health Organization
5184,U,NASA launches the Double Asteroid Redirection Test (DART)
2655,D,Hackers break Into US Senate computers.
4636,D,Republican Ohio House Speaker Larry Householder is arrested by federal agents in connection with a $60 million bribery case. Former Ohio GOP Chairman Matt Borges is also arrested
1679,U,The Bellagio Hotel & Casino in Las Vegas opens on the former grounds of the Dunes Hotel.
1578,U,Spree killer Andrew Cunanan shoots fashion designer Gianni Versace to death outside Versace's Miami Beach
573,U,The Dow Jones Industrial Average surges 43.41 points
1354,U,Charlie Kirk
4399,D,Senator Kamala Harris suspends her campaign for the 2020 Democratic Party presidential nomination.
1431,U,President Bill Clinton signs the Federal Assault Weapons Ban
2138,U,U.S. President George W. Bush nominates federal appeals court judge Samuel Alito for Associate Justice of the Supreme Court of the United States.
2603,D,The world's largest bond fund
1806,D,The final debate of the presidential election takes place at Washington University in St. Louis.
19,U,Madagascar accuses the U.S. of being connected to the plot to oust the current government; the U.S. recalls its ambassador.
1352,U,Brandon Flynn
294,D,The United States vetoes a United Nations resolution that calls for an independent Palestinian state.
4297,D,Two former senior FEMA officials are arrested on charges of bribery in relation to Hurricane Maria relief.
5304,D,2022 NBA Finals: the Golden State Warriors defeat the Boston Celtics in six games to win their fourth championship in eight years and seventh overall. Stephen Curry is named NBA Finals MVP.
1627,D,NASA announces the choice of United States Air Force Lt. Col. Eileen Collins as commander of a future Space Shuttle Columbia mission to launch an X-ray telescope
1264,U,Lewis Pullman
5088,U,The New York State Assembly says that it will not impeach Governor Andrew Cuomo following his announcement that he would resign.
290,U,The Lutz family flees from 112 Ocean Avenue in Amityville
849,D,Soviet General Secretary Mikhail Gorbachev begins an official visit to the United States.
5379,D,The Central Intelligence Agency conducts a drone strike in Afghanistan
1420,D,Fourteen firefighters die in the South Canyon wildfire on Storm King Mountain in Colorado. The event inspires the 1999 book Fire on the Mountain.
5186,U,Twitter co-founder Jack Dorsey steps down as its chief executive
153,D,The Supreme Court of the U.S. delivers its decision in the landmark case Miller v. California
5241,U,President Joe Biden signs the Emmett Till Antilynching Act into law
4961,D,COVID-19 pandemic
5550,U,Missouri legalizes marijuana
5072,D,COVID-19 pandemic
1555,D,The invasive species Asian long-horned beetle is found in New York.
3782,U,An anti-Muslim stabbing attack aboard a Portland
5253,U,Abortion in the United States: A bill banning abortion after 15 weeks of gestation (styled on Mississippi's bill) and restricting its access to minors comes into force after the state legislature overrides the veto by Governor Andy Beshear.
555,D,Larry Walters
3293,D,President Obama authorizes sending over 1
1608,U,Researchers in Dallas
4775,D,Arizona Proposition 207 comes into effect
4926,D,Killing of Adam Toledo – A 13-year-old Latino boy
1898,U,Queen Elizabeth II gives former New York City mayor Rudolph Giuliani an honorary knighthood.
3156,D,Cygnus CRS Orb-1
25,D,Apollo 15 (carrying astronauts David Scott
4693,D,The Senate confirms Amy Coney Barrett as Supreme Court justice
2316,D,The Boston Celtics earn their 17th NBA championship by defeating the Los Angeles Lakers.
5345,U,The Wisconsin Supreme Court rules that putting an absentee ballot inside of an unlocked dropbox or giving it to someone else who will put it inside of an unlocked drop box is allowed
2519,U,Forty U.S. billionaires announce plans to give half of their wealth to charitable organizations.
865,U,Serial killer Theodore Bundy is executed in Florida's electric chair.
1929,D,The Beltway sniper attacks begin with five shootings taking place in Montgomery County
2814,D,Seven US Marines die when two helicopters collide and crash on the border of the states of California and Arizona. The Bell AH-1 SuperCobra attack helicopter and the UH-1Y Huey utility chopper accident occurs during a nighttime training exercise.
3349,U,Federal judge Joseph Bataillon strikes down Nebraska's ban on same-sex marriage
184,D,Watergate scandal: Seven former White House officials are indicted for their role in the Watergate break-in and charged with conspiracy to obstruct justice.
3674,D,Donald Trump agrees to pay a $25 million settlement to two class action lawsuits and a New York state civil lawsuit regarding his now defunct unlicensed Trump University.
3410,U,In the NBA
3061,U,Jodi Arias is convicted of the first-degree murder of her boyfriend by a court in Arizona.
4771,U,Michigan surpasses 9
921,U,The Dow Jones Industrial Average closes above 2
3514,D,2015 NFL season: In American football
4283,D,NASCAR bans advertisements of “assault-style rifles/sniper rifles.”
4046,U,Ant-Man and the Wasp
4103,U,12 people and the perpetrator are killed in a shooting at the Borderline Bar and Grill
3950,U,Gary Cohn
2798,D,An intense EF3 tornado strikes the northeastern part of the Birmingham
643,D,Dr. John Buster and the research team at Harbor-UCLA Medical Center announce history's first embryo transfer
996,U,The Nuclear Regulatory Commission approves a license for the long-delayed Seabrook Station Nuclear Power Plant.
5564,D,The January 6 Committee releases its full report on the attack on the Capitol.
1405,U,The largest high school arson ever in the United States is started at Burnsville High School
192,D,Hank Aaron ties Babe Ruth for the all-time home run record with his 714th at Riverfront Stadium in Cincinnati.
1761,U,The unemployment rate drops to 4%
3133,U,American Airlines Group is formed from the merger of AMR Corporation and US Airways Group and begins trading on the NASDAQ.
3570,D,The top pick for the WNBA draft is UConn's Breanna Stewart
842,U,War on Drugs: U.S. President Ronald Reagan signs a bill providing the death penalty for murderous drug traffickers.
2274,D,Actor Heath Ledger
118,D,Roe v. Wade: The U.S. Supreme Court overturns state bans on abortion.
841,D,The 300-foot Green Bank Telescope collapses in Green Bank
2598,U,The U.S. Supreme Court makes a controversial 8–1 decision that the controversial protests of the Westboro Baptist Church at fallen US military members' funerals are a form of protected speech under the First Amendment.
2804,U,A teacher
5773,D,A driver is arrested after crashing into a group of Pepperdine University students walking in Malibu
4797,U,Michigan surpasses 10
2185,U,Yeh for Games
298,U,Actor Sal Mineo
4594,U,President Trump threatens to shut down Twitter and other social media platforms
1161,U,After 30 years
2022,U,The final episode of Frasier airs on NBC. The episode was viewed by 33.7 million people
1269,D,Jennifer Stone
5181,U,The U.S. House of Representatives votes 220–213 to pass the Build Back Better Act
3385,U,David Letterman broadcasts the last episode of his 22-year run as host of The Late Show on CBS
5796,U,George Santos says he will not seek re-election after the House Ethics Committee issued a scathing report against him
4937,D,2021 Rock Hill shooting – Six people are killed by gunshots at a house in Rock Hill
920,U,United Airlines Flight 232 (Douglas DC-10) crashes in Sioux City
4948,U,Virginia reports its first two cases of the Lineage P.1 variant
4875,U,South Dakota Constitutional Amendment A
3430,U,Oregon's decriminalization of recreational marijuana goes into effect
3452,D,The United States Department of Transportation opens an investigation into whether airlines engaged in price gouging by raising ticket prices in the Northeastern United States following the 2015 Philadelphia train derailment in May.
5824,D,Perry High School shooting: Two people are killed and six others are injured in a school shooting in Perry
1894,D,In his State of the Union Address
1696,U,DreamWorks' second film
5729,D,Pittsburgh synagogue shooting: Perpetrator Robert Gregory Bowers is sentenced to the death penalty.
493,D,Vernon Jordan is shot and critically injured in an assassination attempt in Fort Wayne
4602,U,Washington
5361,U,OSHA opens its first federal investigation into Amazon after the death of one of its New Jersey warehouse workers during the company's Prime Day event.
1978,U,A senior Department of State chemical and biological weapons expert testifies to the House of Representatives Intelligence Committee that he was pressured to modify intelligence reports about Iraq.
5422,D,Federal judge Dan A. Polster rules that Walgreens
1138,D,Walt Disney Pictures' 30th feature film
2974,U,Syrian civil war: President Barack Obama recognizes Syria's rebel opposition as the "legitimate representatives" of the Syrian people.
873,U,The first of 24 Global Positioning System satellites is placed into orbit.
4423,U,For the first time in U.S. history
4343,U,Defense Secretary Mark Esper announces that the U.S. is sending additional troops and weapons to Saudi Arabia.
2534,D,A US Federal Judge strikes down the appeal of the Department of Justice. The US Military begins accepting applications for gay service members. "Don't ask
125,U,The United States Dollar is devalued by 10%.
5097,U,U.S. District Judge Linda Vivienne Parker announces sanctions against Sidney Powell
3914,U,Star Wars: The Last Jedi is released in theaters.
481,D,A mass exodus of Cubans to the United States known as the Mariel boatlift begins. It ends on October 31 by agreement between the two countries.
5235,U,Amid Russia's ongoing invasion of Ukraine
281,D,The long-running television game show The Price Is Right expands from 30 minutes to its current hour-long format on CBS.
146,U,A 71-day standoff between federal authorities and American Indian Movement activists who were occupying the Pine Ridge Reservation at Wounded Knee
1366,D,David Lambert
1385,D,U.S. President Bill Clinton delivers his first State of the Union address
5080,D,Dominion Voting Systems sues conservative news channels One America News Network and Newsmax
2320,D,After three decades as the Chairman of Microsoft Corporation
5068,U,A report released by New York Attorney General Letitia James says that Governor Andrew Cuomo sexually harassed 11 women.
500,U,U.S. President Jimmy Carter signs Proclamation 4771
2869,U,William Balfour is found guilty of murdering the mother
3182,D,At the 2014 South by Southwest Festival in Austin
3097,U,The American electronic stock exchange NASDAQ shuts down for 3 hours due to a computer problem.
4557,U,The U.S. becomes the country with the highest number of reported COVID-19 deaths: over 20
5273,D,President Biden invokes the Defense Production Act of 1950 to address a shortage of baby formula across the country.
